mode,domain,task,seed,success,strict_grasp_success,attempt_count,retry_executed,gate_decision,terminal_label,recovery_label,target_distance_m
rule_rgb_retry,mild_contact_shift,move_leftmost_cube_to_bowl,754,True,True,1,False,visual_target_confirmed,,,0.009174741046657258
learned_top_rule_recovery,mild_contact_shift,move_leftmost_cube_to_bowl,754,True,True,1,False,accept_terminal,complete,accept,0.009174741046657258
learned_top_front_rule_recovery,mild_contact_shift,move_leftmost_cube_to_bowl,754,True,True,1,False,accept_terminal,complete,accept,0.009174741046657258
rule_rgb_retry,low_contact_shift,move_leftmost_cube_to_bowl,750,True,True,2,True,visual_target_confirmed,,,0.01625112771397013
learned_top_rule_recovery,low_contact_shift,move_leftmost_cube_to_bowl,750,True,True,2,True,rule_retry_executed,not_complete,stop,0.01625112771397013
learned_top_front_rule_recovery,low_contact_shift,move_leftmost_cube_to_bowl,750,True,True,2,True,rule_retry_executed,not_complete,stop,0.01625112771397013
rule_rgb_retry,low_contact_shift,move_leftmost_cube_to_bowl,751,True,True,1,False,visual_target_confirmed,,,0.007952831773476693
learned_top_rule_recovery,low_contact_shift,move_leftmost_cube_to_bowl,751,True,True,1,False,accept_terminal,complete,accept,0.007952831773476693
learned_top_front_rule_recovery,low_contact_shift,move_leftmost_cube_to_bowl,751,True,True,1,False,accept_terminal,complete,accept,0.007952831773476693
rule_rgb_retry,low_contact_shift,move_leftmost_cube_to_bowl,752,True,True,1,False,visual_target_confirmed,,,0.006713323407911864
learned_top_rule_recovery,low_contact_shift,move_leftmost_cube_to_bowl,752,True,True,1,False,accept_terminal,complete,accept,0.006713323407911864
learned_top_front_rule_recovery,low_contact_shift,move_leftmost_cube_to_bowl,752,True,True,1,False,accept_terminal,complete,accept,0.006713323407911864
rule_rgb_retry,low_contact_shift,move_leftmost_cube_to_bowl,753,True,True,1,False,visual_target_confirmed,,,0.011649478381006714
learned_top_rule_recovery,low_contact_shift,move_leftmost_cube_to_bowl,753,True,True,1,False,accept_terminal,complete,accept,0.011649478381006714
learned_top_front_rule_recovery,low_contact_shift,move_leftmost_cube_to_bowl,753,True,True,1,False,accept_terminal,complete,accept,0.011649478381006714
rule_rgb_retry,low_contact_shift,move_leftmost_cube_to_bowl,754,True,True,1,False,visual_target_confirmed,,,0.007954703415357962
learned_top_rule_recovery,low_contact_shift,move_leftmost_cube_to_bowl,754,True,True,1,False,accept_terminal,complete,accept,0.007954703415357962
learned_top_front_rule_recovery,low_contact_shift,move_leftmost_cube_to_bowl,754,True,True,1,False,accept_terminal,complete,accept,0.007954703415357962
rule_rgb_retry,severe_contact_shift,move_leftmost_cube_to_bowl,750,False,False,2,True,retry_budget_exhausted,,,0.18428252450608304
learned_top_rule_recovery,severe_contact_shift,move_leftmost_cube_to_bowl,750,False,False,2,True,rule_retry_executed,not_complete,retry,0.18428252450608304
learned_top_front_rule_recovery,severe_contact_shift,move_leftmost_cube_to_bowl,750,False,False,2,True,rule_retry_executed,not_complete,stop,0.18428252450608304
rule_rgb_retry,severe_contact_shift,move_leftmost_cube_to_bowl,751,True,True,1,False,visual_target_confirmed,,,0.006679672576200862
