视频类型,版本,结果,视频文件,元数据文件,ffprobe可播放,元数据存在,宽度,高度,fps,帧数,视频时长秒,索引时长秒,时长偏差秒,时长通过,分辨率通过,审计状态,说明
补充片段,clip_core_v2_multitask_v1,success=False,outputs/videos/clip_core_v2_multitask_v1_seed0.mp4,outputs/videos/clip_core_v2_multitask_v1_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
补充片段,clip_semantic_ood_hard_leftmost_cube,success=True,outputs/videos/clip_semantic_ood_hard_leftmost_cube_seed1300.mp4,outputs/videos/clip_semantic_ood_hard_leftmost_cube_seed1300.json,是,是,640,480,30.00,357,11.900,11.900,0.000,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
补充片段,clip_semantic_ood_paraphrase_blue_to_red,success=False,outputs/videos/clip_semantic_ood_paraphrase_blue_to_red_seed700.mp4,outputs/videos/clip_semantic_ood_paraphrase_blue_to_red_seed700.json,是,是,640,480,30.00,357,11.900,11.900,0.000,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
补充片段,clip_semantic_waypoint_core_v2_v1,success=True,outputs/videos/clip_semantic_waypoint_core_v2_v1_leftmost_cube_seed420.mp4,outputs/videos/clip_semantic_waypoint_core_v2_v1_leftmost_cube_seed420.json,是,是,640,480,30.00,357,11.900,11.900,0.000,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,contact_aware_phase_gated_torch_act_v1_candidate,success=False,outputs/videos/contact_aware_phase_gated_torch_act_v1_candidate_seed0.mp4,outputs/videos/contact_aware_phase_gated_torch_act_v1_candidate_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,contact_aware_trajectory_knn_v1_candidate,success=True,outputs/videos/contact_aware_trajectory_knn_v1_candidate_seed0.mp4,outputs/videos/contact_aware_trajectory_knn_v1_candidate_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,contact_hold_weighted_torch_act_v1_candidate,success=False,outputs/videos/contact_hold_weighted_torch_act_v1_candidate_seed0.mp4,outputs/videos/contact_hold_weighted_torch_act_v1_candidate_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,contact_phase_gated_torch_act_v1_candidate,success=False,outputs/videos/contact_phase_gated_torch_act_v1_candidate_seed0.mp4,outputs/videos/contact_phase_gated_torch_act_v1_candidate_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,contact_stage_demo_torch_act_v1_candidate,success=False,outputs/videos/contact_stage_demo_torch_act_v1_candidate_seed0.mp4,outputs/videos/contact_stage_demo_torch_act_v1_candidate_seed0.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
候选诊断片段,contact_stage_phase_action_head_v1_candidate,success=True,outputs/videos/contact_stage_phase_action_head_v1_candidate_seed101.mp4,outputs/videos/contact_stage_phase_action_head_v1_candidate_seed101.json,是,是,640,480,24.00,238,9.917,9.900,0.017,是,是,通过,ffprobe 可解码，元数据存在，时长和分辨率满足展示审计门槛。
